"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON with Comments", "JSON", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\coffee\scaj2022.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 9, 116
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\coffee\suppliers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 7, 65
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\coffee\videos.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\gastronomy\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 6, 132
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\gastronomy\videos.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 8, 51
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\investing-in-peru\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 22, 5, 139
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\pisco\importing-companies.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 7, 69
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\pisco\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 7, 111
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\pisco\recipes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 7, 98
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\products\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 5, 125
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\recipes\[slug].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 8, 109
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\recipes\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 77, 0, 0, 10, 87
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\restaurants\[slug].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 12, 113
"c:\Users\embto\Documents\GitHub\promotionperu\src\pages\restaurants\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 7, 67
"c:\Users\embto\Documents\GitHub\promotionperu\src\styles\Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 42, 0, 8, 50
"c:\Users\embto\Documents\GitHub\promotionperu\src\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 16, 0, 7, 23
"c:\Users\embto\Documents\GitHub\promotionperu\tailwind.config.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\embto\Documents\GitHub\promotionperu\tsconfig.json", "JSON with Comments", 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"Total", "-", 315, 60, 27, 55, 16369, 2046, 58, 38, 283, 19251
